DL-methionine; chemical synthesis; at processing plant
apply pesticide; broadcast with incorporation, drawn sprayer, peanuts; at farm
apply pesticide; broadcast with incorporation, drawn sprayer, rice; at farm
apply pesticide; broadcast with incorporation, drawn sprayer, soybeans; at farm
apply pesticide; broadcast with incorporation, drawn sprayer, spring wheat; at farm
apply pesticide; broadcast with incorporation, drawn sprayer, winter wheat; at farm
apply pesticide; broadcast with incorporation, self-propelled sprayer, corn; at farm
apply pesticide; broadcast with incorporation, self-propelled sprayer, cotton; at farm
apply pesticide; broadcast with incorporation, self-propelled sprayer, oats; at farm
apply pesticide; broadcast with incorporation, self-propelled sprayer, peanuts; at farm
apply pesticide; broadcast with incorporation, self-propelled sprayer, rice; at farm
apply pesticide; broadcast with incorporation, self-propelled sprayer, soybeans; at farm
apply pesticide; broadcast with incorporation, self-propelled sprayer, spring wheat; at farm
apply pesticide; broadcast with incorporation, self-propelled sprayer, winter wheat; at farm
apply pesticide; broadcast without incorporation, drawn sprayer, corn; at farm
apply pesticide; broadcast without incorporation, drawn sprayer, cotton; at farm
apply pesticide; broadcast without incorporation, drawn sprayer, peanuts; at farm
apply pesticide; broadcast without incorporation, drawn sprayer, rice; at farm
apply pesticide; broadcast without incorporation, drawn sprayer, soybeans; at farm
apply pesticide; broadcast without incorporation, drawn sprayer, spring wheat; at farm
apply pesticide; broadcast without incorporation, drawn sprayer, winter wheat; at farm
apply pesticide; broadcast without incorporation, self-propelled sprayer, corn; at farm
apply pesticide; broadcast without incorporation, self-propelled sprayer, cotton; at farm
apply pesticide; broadcast without incorporation, self-propelled sprayer, peanuts; at farm
apply pesticide; broadcast without incorporation, self-propelled sprayer, rice; at farm
apply pesticide; broadcast without incorporation, self-propelled sprayer, soybeans; at farm
apply pesticide; broadcast without incorporation, self-propelled sprayer, spring wheat; at farm
apply pesticide; broadcast without incorporation, self-propelled sprayer, winter wheat; at farm
apply pesticide; chiseled or injected/knifed in, drawn sprayer, cotton; at farm
apply pesticide; chiseled or injected/knifed in, drawn sprayer, peanuts; at farm
apply pesticide; chiseled or injected/knifed in, self-propelled sprayer, cotton; at farm
apply pesticide; chiseled or injected/knifed in, self-propelled sprayer, peanuts; at farm
apply pesticide; directed spray, corn; at farm
apply pesticide; directed spray, cotton; at farm
apply pesticide; directed spray, oats; at farm
apply pesticide; directed spray, peanuts; at farm
apply pesticide; directed spray, rice; at farm
apply pesticide; directed spray, soybeans; at farm
apply pesticide; directed spray, spring wheat; at farm
apply pesticide; directed spray, winter wheat; at farm
apply pesticide; foliar, corn; at farm
apply pesticide; foliar, cotton; at farm
apply pesticide; foliar, oats; at farm
apply pesticide; foliar, peanuts; at farm
apply pesticide; foliar, rice; at farm
apply pesticide; foliar, soybeans; at farm
apply pesticide; foliar, spring wheat; at farm
apply pesticide; foliar, winter wheat; at farm
apply pesticide; in irrigation water, corn; at farm
apply pesticide; in irrigation water, cotton; at farm
apply pesticide; in irrigation water, peanuts; at farm
apply pesticide; in seed furrow, furrow diker, corn; at farm
apply pesticide; in seed furrow, furrow diker, cotton; at farm
apply pesticide; in seed furrow, furrow diker, peanuts; at farm
apply pesticide; in seed furrow, furrow shaper, corn; at farm
apply pesticide; in seed furrow, furrow shaper, cotton; at farm
apply pesticide; in seed furrow, furrow shaper, peanuts; at farm
aviation fuel; Jet-A fuel surrogate, bioconversion of poplar biomass; at biorefinery; 45.5 MJ/kg
beef cattle finishing; CCF operation; at auction; LW
broiler production; national average production; at farm
calf production; cow-calf operation; at farm
cattle feed production; produced on farm; production mix on farm
chicken hatchery; females for hatching egg production; at hatchery
chicken hatchery; for broiler production; at hatchery
chicken hatchery; males for hatching egg production; at hatchery
chlorotetracycline antibiotic; fermentation-batch processes; at processing plant
copper sulfate; chemical reaction process; at processing plant
corn grain production; dry processing; region 3, at farm
corn grain production; dry processing; region 4, at farm
corn grain production; strip tillage; at farm; dry matter
corn grain storage; dry processing; regional mix, at farm
corn grain; at harvest; at farm; wet basis
corn silage production; strip tillage; at farm; dry matter
cotton lint; at harvest; at farm; wet basis
dead animal management (pigs); average mix; disposal at farm
dicalcium phosphate; low-temperature endothermic process; at processing plant
durum wheat; at harvest; at farm; wet basis
ethoxyquin; chemical reaction process; at processing plant
feed grade dry whey; from cheese production;at dairy plant;dry weight basis
feed ration milling; broiler breeder, hen consumption mix; at feed mill
feed ration milling; broiler breeder, pullet consumption mix; at feed mill
feed ration milling; broiler breeder, rooster consumption mix; at feed mill
feed ration milling; broiler consumption mix; at feed mill
feed ration milling; primary breeder, breeding consumption mix; at feed mill
feed ration milling; primary breeder, rearing consumption mix; at feed mill
feeder pig; deep pit manure mgmt; at farm
fishmeal; indirect steam dried press cake; at plant; moisture content 5-10%
galvanized nails; at manufacturer
gestation barn (pigs); tunnel ventilated; stalls with fully-slatted floors
gestation stall (pigs); galvanized
grass pasture maintenance; forage for cattle; grazed on farm; dry matter
grow barn (pigs); tunnel ventilated; fully slatted floor
grow barn pen (pigs); galvanized
grow rations; mix with additives
harvest; combine with cart, durum wheat; at farm
harvest; combine with cart, oats; at farm
harvest; combine with cart, rice; at farm
harvest; combine with cart, soybeans; at farm
harvest; combine with cart, spring wheat; at farm
harvest; combine with cart, winter wheat; at farm
harvest; combine, oats; at farm
harvest; combine, rice; at farm
harvest; combine, soybeans; at farm
harvest; digger/ inverter, peanuts; at farm
harvest; draper header with cart, durum wheat; at farm
harvest; draper header with cart, spring wheat; at farm
harvest; draper header with cart, winter wheat; at farm
harvest; drawn combine with grain cart, corn; at farm
harvest; drawn combine, corn; at farm
harvest; drawn forage harvester, corn residue; at farm
harvest; drawn forage harvester, corn silage; at farm
harvest; drawn forage harvester, cotton residue; at farm
harvest; drawn forage harvester, durum wheat residue; at farm
harvest; drawn forage harvester, oat residue; at farm
harvest; drawn forage harvester, peanut residue; at farm
harvest; drawn forage harvester, rice residue; at farm
harvest; drawn forage harvester, soybean residue; at farm
harvest; drawn forage harvester, spring wheat residue; at farm
harvest; drawn forage harvester, winter wheat residue; at farm
harvest; drawn picker, cotton; at farm
harvest; drawn stripper/module builder, cotton; at farm
harvest; header with cart, durum wheat; at farm
harvest; lifter, peanuts; at farm
harvest; picker/module builder, cotton; at farm
harvest; rice header with cart, rice; at farm
harvest; rice header, rice; at farm
harvest; self-propelled combine with grain cart, corn; at farm
harvest; self-propelled combine, corn; at farm
harvest; self-propelled forage harvester, corn residue; at farm
harvest; self-propelled forage harvester, corn silage; at farm
harvest; self-propelled forage harvester, cotton residue; at farm
harvest; self-propelled forage harvester, durum wheat residue; at farm
harvest; self-propelled forage harvester, oat residue; at farm
harvest; self-propelled forage harvester, peanut residue; at farm
harvest; self-propelled forage harvester, rice residue; at farm
harvest; self-propelled forage harvester, soybean residue; at farm
harvest; self-propelled forage harvester, spring wheat residue; at farm
harvest; self-propelled forage harvester, winter wheat residue; at farm
harvest; self-propelled picker, cotton; at farm
harvest; soybean header with cart, soybeans; at farm
harvest; soybean header, soybeans; at farm
harvest; stripper with drawn module builder, cotton; at farm
harvest; stripper with self-propelled module builder, cotton; at farm
harvest; swather and combine with cart, oats; at farm
harvest; swather and combine, oats; at farm
harvest; wheat header with cart, spring wheat; at farm
harvest; wheat header with cart, winter wheat; at farm
hatching egg production; for broiler breeder production; at primary breeder farm
hatching egg production; layers for broiler production; at multiplier farm
kraft lignin extraction; from southern bleached softwood kraft, elemental chlorine free (ECF) bleached process; at mill
lime fertilizer storage; at regional storehouse
market pig; deep pit manure mgmt; at farm
nitrogen fertilizer storage; average production mix, at US regional storehouse; as N
nursery barn (pigs); tunnel ventilated; mesh floor
nursery rations; mix with additives
oats; at harvest; at farm; wet basis
operation of Band sprayer; for growing corn; at farm; 170HP tractor, 50 ft wide
operation of Band sprayer; for growing cotton; at farm; 170HP tractor, 50 ft wide
operation of Band sprayer; for growing oats; at farm; 170HP tractor, 50 ft wide
operation of Band sprayer; for growing peanuts; at farm; 170HP tractor, 50 ft wide
operation of Band sprayer; for growing rice; at farm; 170HP tractor, 50 ft wide
operation of Band sprayer; for growing soybeans; at farm; 170HP tractor, 50 ft wide
operation of Band sprayer; for growing spring wheat; at farm; 170HP tractor, 50 ft wide
operation of Band sprayer; for growing winter wheat; at farm; 170HP tractor, 50 ft wide
operation of Bed-Disk-Hipper (Bedder, hipper, disk hiller); for growing corn; at farm; 135HP tractor, R6-30
operation of Bed-Disk-Hipper (Bedder, hipper, disk hiller); for growing corn; at farm; 150HP tractor, R8-30
operation of Bed-Disk-Hipper (Bedder, hipper, disk hiller); for growing corn; at farm; 180HP tractor, R10-30
operation of Bed-Disk-Hipper (Bedder, hipper, disk hiller); for growing cotton; at farm; 135HP tractor, R6-8
operation of Bed-Disk-Hipper (Bedder, hipper, disk hiller); for growing peanuts; at farm; 135HP tractor, R6-38
operation of Bed-Disk-Hipper (Bedder, hipper, disk hiller); for growing peanuts; at farm; 150HP tractor, R8-38
operation of Bed-Disk-Hipper (Bedder, hipper, disk hiller); for growing peanuts; at farm; 180HP tractor, R10-38
operation of Bed-Disk-Hipper (Bedder, hipper, disk hiller); for growing soybeans; at farm; 135HP tractor, R6-15
operation of Bed-Disk-Hipper (Bedder, hipper, hiller 12 in high); for growing corn; at farm; 205HP tractor, R6-30
operation of Bed-Disk-Hipper (Bedder, hipper, hiller 12 in high); for growing corn; at farm; 230HP tractor, R8-30
operation of Bed-Disk-Hipper (Bedder, hipper, hiller 12 in high); for growing corn; at farm; 270HP tractor, R10-30
operation of Bed-Paratill (Para-plow or para-till); for growing cotton; at farm; 225HP tractor, R6-8
operation of Bedder (Bed shaper); for growing cotton; at farm; 135HP tractor, 40 ft wide
operation of Bedder (Furrow diker); for growing corn; at farm; 135HP tractor, 40 ft wide
operation of Bedder (Furrow diker); for growing cotton; at farm; 135HP tractor, 40 ft wide
operation of Bedder (Furrow diker); for growing peanuts; at farm; 135HP tractor, 40 ft wide
operation of Bedder (Furrow shaper, torpedo); for growing corn; at farm; 100HP tractor, 40 ft wide
operation of Bedder (Furrow shaper, torpedo); for growing cotton; at farm; 100HP tractor, 40 ft wide
operation of Bedder (Furrow shaper, torpedo); for growing peanuts; at farm; 100HP tractor, 40 ft wide
operation of Boll Buggy; for harvesting cotton; at farm; 190HP tractor, R4-8
operation of Broadcast seeder (Planting, broadcast seeder); for growing cotton; at farm; 75HP tractor, 20 ft wide
operation of Broadcast sprayer; for growing corn; at farm; 125HP, 60 ft wide
operation of Broadcast sprayer; for growing corn; at farm; 150HP tractor, 51 ft wide
operation of Broadcast sprayer; for growing corn; at farm; 170HP tractor, 55 ft wide
operation of Broadcast sprayer; for growing corn; at farm; 250HP, 90 ft wide
operation of Broadcast sprayer; for growing corn; at farm; 60HP tractor, 37 ft wide
operation of Broadcast sprayer; for growing cotton; at farm; 125HP, 60 ft wide
operation of Broadcast sprayer; for growing cotton; at farm; 150HP tractor, 51 ft wide
operation of Broadcast sprayer; for growing cotton; at farm; 170HP tractor, 55 ft wide
operation of Broadcast sprayer; for growing cotton; at farm; 250HP, 90 ft wide
operation of Broadcast sprayer; for growing cotton; at farm; 60HP tractor, 37 ft wide
operation of Broadcast sprayer; for growing oats; at farm; 125HP, 60 ft wide
operation of Broadcast sprayer; for growing oats; at farm; 150HP tractor, 51 ft wide
operation of Broadcast sprayer; for growing oats; at farm; 170HP tractor, 55 ft wide
operation of Broadcast sprayer; for growing oats; at farm; 250HP, 90 ft wide
operation of Broadcast sprayer; for growing oats; at farm; 60HP tractor, 37 ft wide
operation of Broadcast sprayer; for growing peanuts; at farm; 125HP, 60 ft wide
operation of Broadcast sprayer; for growing peanuts; at farm; 150HP tractor, 51 ft wide
operation of Broadcast sprayer; for growing peanuts; at farm; 170HP tractor, 55 ft wide
operation of Broadcast sprayer; for growing peanuts; at farm; 250HP, 90 ft wide
operation of Broadcast sprayer; for growing peanuts; at farm; 60HP tractor, 37 ft wide
operation of Broadcast sprayer; for growing rice; at farm; 125HP, 60 ft wide
operation of Broadcast sprayer; for growing rice; at farm; 150HP tractor, 51 ft wide
operation of Broadcast sprayer; for growing rice; at farm; 170HP tractor, 55 ft wide
operation of Broadcast sprayer; for growing rice; at farm; 250HP, 90 ft wide
operation of Broadcast sprayer; for growing rice; at farm; 60HP tractor, 37 ft wide
operation of Broadcast sprayer; for growing soybeans; at farm; 125HP, 60 ft wide
operation of Broadcast sprayer; for growing soybeans; at farm; 150HP tractor, 51 ft wide
operation of Broadcast sprayer; for growing soybeans; at farm; 170HP tractor, 55 ft wide
operation of Broadcast sprayer; for growing soybeans; at farm; 250HP, 90 ft wide
operation of Broadcast sprayer; for growing soybeans; at farm; 60HP tractor, 37 ft wide
operation of Broadcast sprayer; for growing spring wheat; at farm; 125HP, 60 ft wide
operation of Broadcast sprayer; for growing spring wheat; at farm; 150HP tractor, 51 ft wide
operation of Broadcast sprayer; for growing spring wheat; at farm; 170HP tractor, 55 ft wide
operation of Broadcast sprayer; for growing spring wheat; at farm; 250HP, 90 ft wide
operation of Broadcast sprayer; for growing spring wheat; at farm; 60HP tractor, 37 ft wide
operation of Broadcast sprayer; for growing winter wheat; at farm; 125HP, 60 ft wide
operation of Broadcast sprayer; for growing winter wheat; at farm; 150HP tractor, 51 ft wide
operation of Broadcast sprayer; for growing winter wheat; at farm; 170HP tractor, 55 ft wide
operation of Broadcast sprayer; for growing winter wheat; at farm; 250HP, 90 ft wide
operation of Broadcast sprayer; for growing winter wheat; at farm; 60HP tractor, 37 ft wide
operation of Chisel plow (Chisel, st. pt. 12 in deep); for growing corn; at farm; 265HP tractor, 20 ft wide
operation of Chisel plow (Chisel, st. pt. 12 in deep); for growing corn; at farm; 385HP tractor, 28 ft wide
operation of Chisel plow (Chisel, st. pt. 12 in deep); for growing corn; at farm; 530HP tractor, 36 ft wide
operation of Chisel plow (Chisel, st. pt. 12 in deep); for growing cotton; at farm; 265HP tractor, 20 ft wide
operation of Chisel plow (Chisel, st. pt. 12 in deep); for growing cotton; at farm; 385HP tractor, 28 ft wide
operation of Chisel plow (Chisel, st. pt. 12 in deep); for growing cotton; at farm; 530HP tractor, 36 ft wide
operation of Chisel plow (Chisel, st. pt. 15 in deep); for growing cotton; at farm; 330HP tractor, 20 ft wide
operation of Chisel plow (Chisel, st. pt. 15 in deep); for growing cotton; at farm; 480HP tractor, 28 ft wide
operation of Chisel plow (Chisel, st. pt. 15 in deep); for growing cotton; at farm; 665HP tractor, 36 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing corn; at farm; 155HP tractor, 20 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing corn; at farm; 225HP tractor, 28 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing corn; at farm; 310HP tractor, 36 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing cotton; at farm; 155HP tractor, 20 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing cotton; at farm; 225HP tractor, 28 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing cotton; at farm; 310HP tractor, 36 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing oats; at farm; 155HP tractor, 20 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing oats; at farm; 225HP tractor, 28 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing oats; at farm; 310HP tractor, 36 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing peanuts; at farm; 155HP tractor, 20 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing peanuts; at farm; 225HP tractor, 28 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing peanuts; at farm; 310HP tractor, 36 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing rice; at farm; 155HP tractor, 20 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing rice; at farm; 225HP tractor, 28 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing rice; at farm; 310HP tractor, 36 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing soybeans; at farm; 155HP tractor, 20 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing soybeans; at farm; 225HP tractor, 28 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing soybeans; at farm; 310HP tractor, 36 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing spring wheat; at farm; 155HP tractor, 20 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing spring wheat; at farm; 225HP tractor, 28 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing spring wheat; at farm; 310HP tractor, 36 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing winter wheat; at farm; 155HP tractor, 20 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing winter wheat; at farm; 225HP tractor, 28 ft wide
operation of Chisel plow (Chisel, st. pt.); for growing winter wheat; at farm; 310HP tractor, 36 ft wide
operation of Chisel plow (Chisel, sweep shovel); for growing corn; at farm; 155HP tractor, 20 ft wide
operation of Chisel plow (Chisel, sweep shovel); for growing corn; at farm; 225HP tractor, 28 ft wide
operation of Chisel plow (Chisel, sweep shovel); for growing corn; at farm; 310HP tractor, 36 ft wide
operation of Chisel plow (Chisel, sweep shovel); for growing cotton; at farm; 155HP tractor, 20 ft wide
operation of Chisel plow (Chisel, sweep shovel); for growing cotton; at farm; 225HP tractor, 28 ft wide
operation of Chisel plow (Chisel, sweep shovel); for growing cotton; at farm; 310HP tractor, 36 ft wide
operation of Chisel plow (Chisel, twisted shovel); for growing corn; at farm; 155HP tractor, 20 ft wide
operation of Chisel plow (Chisel, twisted shovel); for growing corn; at farm; 225HP tractor, 28 ft wide
operation of Chisel plow (Chisel, twisted shovel); for growing corn; at farm; 310HP tractor, 36 ft wide
operation of Chisel plow (Chisel, twisted shovel); for growing cotton; at farm; 155HP tractor, 20 ft wide
operation of Chisel plow (Chisel, twisted shovel); for growing cotton; at farm; 225HP tractor, 28 ft wide
operation of Chisel plow (Chisel, twisted shovel); for growing cotton; at farm; 310HP tractor, 36 ft wide
operation of Chisel plow (Chisel, twisted shovel); for growing peanuts; at farm; 155HP tractor, 20 ft wide
operation of Chisel plow (Chisel, twisted shovel); for growing peanuts; at farm; 225HP tractor, 28 ft wide
operation of Chisel plow (Chisel, twisted shovel); for growing peanuts; at farm; 310HP tractor, 36 ft wide
operation of Chisel plow (Chisel, twisted shovel); for growing rice; at farm; 155HP tractor, 20 ft wide
operation of Chisel plow (Chisel, twisted shovel); for growing rice; at farm; 225HP tractor, 28 ft wide
operation of Chisel plow (Chisel, twisted shovel); for growing rice; at farm; 310HP tractor, 36 ft wide
operation of Chisel-Harrow (Harrow, coiled tine); for growing corn; at farm; 190HP tractor, 21 ft wide
operation of Chisel-Harrow (Harrow, coiled tine); for growing corn; at farm; 225HP tractor, 27 ft wide
operation of Chisel-Harrow (Harrow, coiled tine); for growing rice; at farm; 190HP tractor, 21 ft wide
operation of Chisel-Harrow (Harrow, coiled tine); for growing rice; at farm; 225HP tractor, 27 ft wide
operation of Chisel-Harrow (Harrow, spike tooth); for growing rice; at farm; 190HP tractor, 21 ft wide
operation of Chisel-Harrow (Harrow, spike tooth); for growing rice; at farm; 225HP tractor, 27 ft wide
operation of Chisel-Harrow (Harrow, tine, on beds); for growing cotton; at farm; 190HP tractor, 21 ft wide
operation of Chisel-Harrow (Harrow, tine, on beds); for growing cotton; at farm; 225HP tractor, 27 ft wide
operation of Combine w/ corn head; operated with a cart, for harvesting corn; at farm; 275HP, 20 ft wide
operation of Combine w/ corn head; operated without a cart, for harvesting corn; at farm; 275HP, 20 ft wide
operation of Combine w/ grain head; for harvesting durum wheat; at farm; 220HP, 20 ft wide
operation of Combine w/ grain head; for harvesting durum wheat; at farm; 275HP, 20 ft wide
operation of Combine w/ grain head; for harvesting spring wheat; at farm; 220HP, 20 ft wide
operation of Combine w/ grain head; for harvesting spring wheat; at farm; 275HP, 20 ft wide
operation of Combine w/ grain head; for harvesting winter wheat; at farm; 220HP, 20 ft wide
operation of Combine w/ grain head; for harvesting winter wheat; at farm; 275HP, 20 ft wide
operation of Combine w/ grain head; operated with a cart, for harvesting oats; at farm; 220HP, 20 ft wide
operation of Combine w/ grain head; operated with a cart, for harvesting oats; at farm; 275HP, 20 ft wide
operation of Combine w/ grain head; operated with a cart, for harvesting rice; at farm; 220HP, 20 ft wide
operation of Combine w/ grain head; operated with a cart, for harvesting rice; at farm; 275HP, 20 ft wide
operation of Combine w/ grain head; operated without a cart, for harvesting oats; at farm; 220HP, 20 ft wide
operation of Combine w/ grain head; operated without a cart, for harvesting oats; at farm; 275HP, 20 ft wide
operation of Combine w/ grain head; operated without a cart, for harvesting rice; at farm; 220HP, 20 ft wide
operation of Combine w/ grain head; operated without a cart, for harvesting rice; at farm; 275HP, 20 ft wide
operation of Combine w/ pickup head; operated with a cart, for harvesting oats; at farm; 275HP, 23 ft wide
operation of Combine w/ pickup head; operated without a cart, for harvesting oats; at farm; 275HP, 23 ft wide
operation of Combine w/ soybean head; operated with a cart, for harvesting soybeans; at farm; 220HP, 15 ft wide
operation of Combine w/ soybean head; operated with a cart, for harvesting soybeans; at farm; 275HP, 18 ft wide
operation of Combine w/ soybean head; operated without a cart, for harvesting soybeans; at farm; 220HP, 15 ft wide
operation of Combine w/ soybean head; operated without a cart, for harvesting soybeans; at farm; 275HP, 18 ft wide
operation of Corn grain cart; for harvesting corn; at farm; 190HP tractor, 500 bu
operation of Corn grain cart; for harvesting corn; at farm; 190HP tractor, 700 bu
operation of Corn grain cart; for harvesting corn; at farm; 225HP tractor, 1000 bu
operation of Cotton module builder; for harvesting cotton; at farm; 150HP, 18 ft wide
